dtime,time,open,high,low,close,vwap,volume,count
2019-12-13,1576195200,7190.2,7300.0,7182.7,7251.9,7241.8,2900.50069874,7836
2019-12-14,1576281600,7251.9,7272.1,7010.0,7067.5,7132.1,2770.37930834,8031
2019-12-15,1576368000,7067.5,7203.0,7010.0,7113.7,7092.5,2347.93806361,6660
2019-12-16,1576454400,7112.8,7140.0,6800.0,6876.7,6975.2,5102.80519991,12948
2019-12-17,1576540800,6877.4,6939.0,6563.0,6611.1,6721.2,6131.25752861,16220
2019-12-18,1576627200,6612.9,7488.2,6430.2,7287.9,6879.6,11212.51153387,27241
2019-12-19,1576713600,7293.4,7379.8,7045.0,7149.8,7160.1,5337.33561706,12060
2019-12-20,1576800000,7150.5,7218.0,7076.7,7191.5,7152.7,3440.04081588,7706
2019-12-21,1576886400,7191.6,7191.6,7117.6,7143.5,7145.3,1353.22286945,4297
2019-12-22,1576972800,7143.5,7526.9,7124.0,7510.0,7339.0,4534.82935907,10758
2019-12-23,1577059200,7510.1,7690.5,7265.0,7324.0,7501.0,7541.527587,16521
2019-12-24,1577145600,7315.2,7420.4,7160.0,7253.3,7288.5,4866.1343074,11026
2019-12-25,1577232000,7252.9,7271.8,7116.1,7192.1,7197.1,3360.65679731,7579
2019-12-26,1577318400,7193.0,7428.9,7150.0,7195.5,7250.4,3667.03100747,10268
2019-12-27,1577404800,7196.4,7255.0,6934.8,7246.4,7165.4,3927.3940909,10764
2019-12-28,1577491200,7246.6,7350.0,7234.9,7300.1,7300.6,2522.15801625,6891
2019-12-29,1577577600,7300.6,7531.4,7280.0,7391.0,7393.8,3018.85255099,9257
2019-12-30,1577664000,7383.4,7383.4,7200.0,7209.7,7273.6,3737.33575952,8486
2019-12-31,1577750400,7216.4,7301.1,7110.0,7168.3,7192.9,2652.13508878,7734
2020-01-01,1577836800,7168.3,7235.0,7150.0,7174.4,7196.5,1827.63489373,5611
2020-01-02,1577923200,7174.4,7185.8,6915.0,6942.3,7024.7,4057.33154562,10384
2020-01-03,1578009600,6943.4,7397.3,6860.0,7334.8,7233.4,8120.49140472,32245
2020-01-04,1578096000,7333.2,7396.4,7260.0,7350.2,7317.9,2912.37313055,9109
2020-01-05,1578182400,7350.2,7493.3,7301.1,7346.9,7415.1,2904.093494,8899
2020-01-06,1578268800,7347.2,7800.0,7339.2,7757.3,7573.7,5994.0749446,16738
2020-01-07,1578355200,7760.0,8252.5,7727.1,8160.0,7967.7,10390.75619972,28060
2020-01-08,1578441600,8160.3,8464.3,7875.0,8043.3,8221.2,12263.4285554,30922
2020-01-09,1578528000,8043.3,8043.7,7749.9,7818.0,7886.0,6127.63939749,18438
2020-01-10,1578614400,7818.1,8191.9,7666.3,8191.9,7941.3,8032.13512482,21249
2020-01-11,1578700800,8191.9,8319.5,7999.3,8026.2,8137.2,4806.77769559,13260
2020-01-12,1578787200,8023.3,8185.0,7951.2,8177.3,8092.3,2330.06754714,6963
2020-01-13,1578873600,8177.3,8188.8,8036.8,8104.0,8102.6,2714.88825152,7398
2020-01-14,1578960000,8104.1,8892.0,8104.1,8815.5,8598.4,15537.34136256,36703
2020-01-15,1579046400,8815.5,8900.0,8560.0,8810.3,8757.3,8031.77698958,24844
2020-01-16,1579132800,8808.4,8846.2,8579.4,8717.8,8674.5,4960.81372289,15461
